department,hours_worked
A,48.82026172983832
A,42.000786041836115
A,44.89368992052869
A,51.204465996007286
A,49.33778995074984
A,35.113610600617946
A,44.750442087627945
A,39.24321395851151
A,39.48390574103221
A,42.05299250969186
A,40.72021785580439
A,47.27136753481488
A,43.805188625734964
A,40.60837508246414
A,42.21931616372713
A,41.668371636871335
A,47.47039536578803
A,38.97420868117099
A,41.565338508254506
A,35.729521303491374
A,27.235050920829607
A,43.2680929772018
A,44.322180994297526
A,36.28917489796779
A,51.34877311993804
A,32.728171627006176
A,40.22879258650723
A,39.06408074987083
A,47.66389607179229
A,47.346793849501424
B,45.77473712848458
B,46.89081259801087
B,40.561071261849435
B,35.09601765888036
B,43.260439253369235
B,45.7817448455199
B,51.151453403638605
B,51.01189924392206
B,43.063365912960236
B,43.48848624712332
B,39.75723517466454
B,37.89991031410512
B,36.46864904687494
B,54.75387697615895
B,42.451739091241734
B,42.80962849194407
B,38.73602319975037
B,48.88745177915955
B,36.93051076221024
B,43.93629859893016
B,40.52266719403162
B,46.93451248929631
B,42.445974312155634
B,39.09683907938794
B,44.85908885830673
B,47.14165935265209
B,45.33258611191584
B,46.512359488698905
B,41.828389531595185
B,43.18629417006431
