factory,quality_score
A,87.64052345967664
A,74.00157208367223
A,79.78737984105739
A,92.40893199201457
A,88.67557990149967
A,60.22722120123589
A,79.50088417525589
A,68.48642791702302
A,68.96781148206442
A,74.10598501938372
A,71.44043571160879
A,84.54273506962976
A,77.61037725146993
A,71.21675016492829
A,74.43863232745426
A,73.33674327374267
A,84.94079073157606
A,67.94841736234198
A,73.13067701650901
A,61.45904260698275
A,44.470101841659215
A,76.5361859544036
A,78.64436198859505
A,62.57834979593558
A,92.69754623987608
A,55.45634325401235
A,70.45758517301446
A,68.12816149974167
A,85.32779214358457
A,84.69358769900285
B,76.54947425696916
B,78.78162519602174
B,66.12214252369887
B,55.19203531776073
B,71.52087850673847
B,76.5634896910398
B,87.30290680727721
B,87.02379848784412
B,71.12673182592047
B,71.97697249424664
B,64.51447034932907
B,60.79982062821025
B,57.937298093749874
B,94.5077539523179
B,69.90347818248347
B,70.61925698388814
B,62.472046399500734
B,82.7749035583191
B,58.86102152442049
B,72.87259719786032
B,66.04533438806324
B,78.86902497859262
B,69.89194862431127
B,63.19367815877588
B,74.71817771661345
B,79.28331870530418
B,75.66517222383168
B,78.02471897739781
B,68.65677906319037
B,71.37258834012862
C,73.27539552224049
C,76.4044683845946
C,71.86853717955546
C,62.73717397668323
C,81.77426142253753
C,75.98219063791738
C,63.69801653033955
C,84.62782255525774
C,70.92701635616758
C,80.51945395796139
C,87.29090562177537
C,81.2898291075741
C,91.39400684543301
C,67.65174179646347
C,84.02341641177549
C,73.15189909059687
C,71.29202850818118
C,74.21150335235585
C,76.88447467872628
C,80.56165342229745
C,68.34850159216643
C,89.00826486954188
C,84.6566243973046
C,64.63756313722776
C,94.882521937956
C,98.95889176030583
C,91.7877957115965
C,78.2007516418765
C,69.29247378489457
C,90.54451726931137
