student,score
student_1,92.64052345967664
student_2,79.00157208367223
student_3,84.78737984105739
student_4,97.40893199201457
student_5,93.67557990149967
student_6,65.22722120123589
student_7,84.50088417525589
student_8,73.48642791702302
student_9,73.96781148206442
student_10,79.10598501938372
student_11,76.44043571160879
student_12,89.54273506962976
student_13,82.61037725146993
student_14,76.21675016492829
student_15,79.43863232745426
student_16,78.33674327374267
student_17,89.94079073157606
student_18,72.94841736234198
student_19,78.13067701650901
student_20,66.45904260698275
student_21,49.470101841659215
student_22,81.5361859544036
student_23,83.64436198859505
student_24,67.57834979593558
student_25,97.69754623987608
student_26,60.45634325401235
student_27,75.45758517301446
student_28,73.12816149974167
student_29,90.32779214358457
student_30,89.69358769900285
student_31,76.54947425696916
student_32,78.78162519602174
student_33,66.12214252369887
student_34,55.19203531776073
student_35,71.52087850673847
student_36,76.5634896910398
student_37,87.30290680727721
student_38,87.02379848784412
student_39,71.12673182592047
student_40,71.97697249424664
student_41,64.51447034932907
student_42,60.79982062821025
student_43,57.937298093749874
student_44,94.5077539523179
student_45,69.90347818248347
student_46,70.61925698388814
student_47,62.472046399500734
student_48,82.7749035583191
student_49,58.86102152442049
student_50,72.87259719786032
student_51,66.04533438806324
student_52,78.86902497859262
student_53,69.89194862431127
student_54,63.19367815877588
student_55,74.71817771661345
student_56,79.28331870530418
student_57,75.66517222383168
student_58,78.02471897739781
student_59,68.65677906319037
student_60,71.37258834012862
student_61,68.27539552224049
student_62,71.4044683845946
student_63,66.86853717955546
student_64,57.73717397668323
student_65,76.77426142253753
student_66,70.98219063791738
student_67,58.69801653033955
student_68,79.62782255525774
student_69,65.92701635616758
student_70,75.51945395796139
student_71,82.29090562177537
student_72,76.2898291075741
student_73,86.39400684543301
student_74,62.651741796463476
student_75,79.02341641177549
student_76,68.15189909059687
student_77,66.29202850818118
student_78,69.21150335235585
student_79,71.88447467872628
student_80,75.56165342229745
student_81,63.348501592166436
student_82,84.00826486954188
student_83,79.6566243973046
student_84,59.637563137227765
student_85,89.882521937956
student_86,93.95889176030583
student_87,86.7877957115965
student_88,73.2007516418765
student_89,64.29247378489457
student_90,85.54451726931137
student_91,70.9682305302682
student_92,87.22445070382427
student_93,77.08274978076861
student_94,84.76639036483714
student_95,78.56366397174402
student_96,82.06573168191949
student_97,75.1050002072082
student_98,92.85870493905836
student_99,76.2691209270362
student_100,79.01989363444702
