user_id,game_name,genre,level,play_time,purchase_count,achievement_rate,churn
U01060,Blade Run,Simulation,expert,20.68064431692003,2,0.7241889510736182,0
U01350,Blade Run,Racing,beginner,11.72853366756206,0,0.38736991753186795,1
U00902,Blade Run,RPG,normal,4.112952926150344,3,0.3405062946086586,0
U01355,Castle Farm,Action,beginner,30.492050229179366,1,0.5359977648271868,0
U00644,Drift Max,Simulation,hard,20.562327223264568,0,0.4089075354642519,0
U00405,Blade Run,Racing,beginner,35.57740480555895,3,0.16069257224669042,0
U01245,Aster Quest,Racing,beginner,41.917012917747165,0,0.6876423532058806,1
U00051,Drift Max,RPG,normal,9.531691110600546,1,0.3654773334134,1
U00641,Blade Run,Simulation,beginner,7.2995345733909005,2,0.7602263377331436,0
U01360,Aster Quest,Racing,hard,32.14236998035139,2,0.8821404808962988,0
U01399,Drift Max,Racing,beginner,57.415917558615284,3,0.34650132059253363,0
U00534,Drift Max,Action,normal,38.95833016346265,0,0.13068635085441943,1
U01043,Blade Run,RPG,beginner,26.82418754838617,1,0.43456652733590617,0
U00629,Aster Quest,Racing,normal,20.629603855542758,2,0.09658214070774315,0
U00553,Blade Run,Racing,normal,7.882884256269691,1,0.7124669541520504,0
U00470,Drift Max,Simulation,normal,18.4941636988632,3,0.46431759952416396,0
U00678,Blade Run,Racing,normal,46.22965717897793,2,0.70906226765645,0
U00870,Blade Run,Action,beginner,19.41367846174381,2,0.40126803628720015,0
U00369,Blade Run,RPG,normal,21.258404977901236,2,0.5454174564576986,1
U00892,Aster Quest,Simulation,normal,50.219787259428564,1,0.6433195981986477,0
U00616,Castle Farm,Racing,normal,23.617733046431425,2,0.37445893019978965,1
U00736,Aster Quest,RPG,beginner,40.654247212093885,2,0.1020551230268322,0
U01113,Aster Quest,Racing,normal,42.925142366540356,1,0.2853347213959804,1
U01121,Aster Quest,Racing,beginner,61.95849095316379,2,0.40454750943774004,0
U01310,Castle Farm,RPG,normal,20.861218380703,3,0.5251605826739496,0
U01338,Blade Run,RPG,normal,27.091209412560133,4,0.2842199255397993,0
U00243,Castle Farm,RPG,normal,4.635074657419595,5,0.7147619407142983,0
U00112,Castle Farm,Simulation,normal,49.732424254623076,2,0.17534487920209502,0
U01246,Drift Max,Racing,beginner,16.340673151183715,3,0.46923296846516854,0
U01255,Castle Farm,Simulation,beginner,32.045421867179705,1,0.09171284032822118,1
U00853,Castle Farm,Racing,normal,20.032008243778087,1,0.8121806856070203,1
U00642,Aster Quest,Action,hard,4.731304786164139,0,0.11393944572665164,0
U01267,Castle Farm,Action,expert,31.238126603195237,0,0.4417240312209749,0
U00848,Castle Farm,Action,hard,25.67704360828147,1,0.37505526638500386,0
U00746,Castle Farm,Simulation,normal,9.892846345317967,3,0.4830323980171037,1
U00212,Drift Max,Action,normal,25.24295013620031,0,0.26574158907686785,1
U01326,Castle Farm,Action,normal,18.241847844827017,4,0.6368614571595199,0
U00573,Castle Farm,Racing,beginner,14.414798866972387,1,0.2762215743647914,1
U00999,Castle Farm,Action,beginner,12.150849757029594,0,0.25238150702838424,1
U01345,Castle Farm,Action,hard,13.603544430688938,1,0.09928319550366776,1
U01041,Aster Quest,Simulation,expert,24.682412575012545,3,0.5136420990099431,0
U01011,Blade Run,Action,hard,35.15877441924779,1,0.6500287451017988,0
U00522,Blade Run,Racing,hard,6.730846014594415,0,0.35429852760537983,1
U00197,Drift Max,Racing,expert,83.16755040464619,1,0.14157931000182927,0
U01363,Blade Run,Simulation,normal,16.570532116663127,1,0.4244510523099936,1
U01024,Blade Run,Simulation,beginner,26.324669177463495,0,0.20231681422640582,0
U01216,Drift Max,RPG,normal,23.75629477847821,2,0.5627689973985519,1
U00723,Castle Farm,Simulation,beginner,17.15103570489898,1,0.31017180169519265,1
U01162,Drift Max,Action,normal,35.21746846097413,0,0.4954935397228647,1
U01091,Aster Quest,Action,beginner,12.638892167746864,0,0.4072453816106643,0
U00218,Blade Run,RPG,normal,16.99725968560711,3,0.2958339177576869,0
U00824,Castle Farm,Racing,normal,36.913738210813705,1,0.7362996603632006,0
U00309,Aster Quest,Simulation,hard,39.608013927265326,1,0.2771389247029754,0
U00378,Castle Farm,Action,beginner,15.224902689274579,1,0.5194852583916347,0
U00504,Aster Quest,Action,expert,33.987856671987764,1,0.6292333981759585,0
U00204,Aster Quest,Racing,hard,16.867961809929948,5,0.47355092466356125,0
U01288,Aster Quest,Action,beginner,14.215947163285767,2,0.13665843909738154,1
U00276,Drift Max,RPG,beginner,29.919822974167502,2,0.44530450860116616,1
U00921,Castle Farm,RPG,beginner,36.74185310565554,2,0.7566800337732602,0
U00456,Blade Run,Simulation,normal,8.915100365977644,1,0.10343067002369126,1
U00798,Aster Quest,RPG,normal,36.838876021848435,3,0.15956222680790952,0
U01040,Drift Max,RPG,beginner,42.909400359986044,3,0.49815108337944475,1
U01175,Castle Farm,Racing,normal,3.430862370133323,3,0.45142508068658765,0
U00372,Drift Max,Action,normal,17.612916364110568,1,0.2250267369181768,1
U00198,Drift Max,Simulation,normal,26.950570560837487,2,0.37576357929331533,0
U00626,Aster Quest,Action,normal,8.967161648209428,1,0.6021396883074767,0
U00387,Blade Run,RPG,normal,15.781143540865688,2,0.14098626755160948,0
U00303,Castle Farm,Racing,beginner,44.83229589459238,2,0.35346111687768395,0
U00819,Drift Max,Racing,normal,34.33243038858565,2,0.30943613115652385,1
U00335,Drift Max,Simulation,beginner,30.784231337566894,2,0.18234741627046408,0
U01324,Blade Run,RPG,hard,33.63590430714467,0,0.27624171259940417,0
U00781,Blade Run,Simulation,hard,38.11649430100036,2,0.14547808767763712,0
U00784,Drift Max,Racing,beginner,45.481963879046894,3,0.4271274963114677,0
U01008,Blade Run,Simulation,normal,8.294312028783883,1,0.46832638267337373,1
U01211,Aster Quest,Racing,normal,12.591125445283875,2,0.7275874593100204,0
U01318,Blade Run,Racing,beginner,54.87509793608781,1,0.3761477908240556,0
U00434,Drift Max,Simulation,beginner,15.238338137985467,2,0.35316510306981413,0
U00314,Blade Run,Simulation,hard,22.82390313248681,0,0.44862188038604045,1
