campaign,satisfaction_score
A,87.64052345967664
A,74.00157208367223
A,79.78737984105739
A,92.40893199201457
A,88.67557990149967
A,60.22722120123589
A,79.50088417525589
A,68.48642791702302
A,68.96781148206442
A,74.10598501938372
A,71.44043571160879
A,84.54273506962976
A,77.61037725146993
A,71.21675016492829
A,74.43863232745426
A,73.33674327374267
A,84.94079073157606
A,67.94841736234198
A,73.13067701650901
A,61.45904260698275
A,44.470101841659215
A,76.5361859544036
A,78.64436198859505
A,62.57834979593558
A,92.69754623987608
A,55.45634325401235
A,70.45758517301446
A,68.12816149974167
A,85.32779214358457
A,84.69358769900285
A,71.54947425696916
A,73.78162519602174
A,61.12214252369887
A,50.19203531776073
A,66.52087850673847
A,71.5634896910398
A,82.30290680727721
A,82.02379848784412
A,66.12673182592047
A,66.97697249424664
A,59.51447034932907
A,55.79982062821025
A,52.937298093749874
A,89.5077539523179
A,64.90347818248347
A,65.61925698388814
A,57.472046399500734
A,77.7749035583191
A,53.86102152442049
A,67.87259719786032
B,66.04533438806324
B,78.86902497859262
B,69.89194862431127
B,63.19367815877588
B,74.71817771661345
B,79.28331870530418
B,75.66517222383168
B,78.02471897739781
B,68.65677906319037
B,71.37258834012862
B,68.27539552224049
B,71.4044683845946
B,66.86853717955546
B,57.73717397668323
B,76.77426142253753
B,70.98219063791738
B,58.69801653033955
B,79.62782255525774
B,65.92701635616758
B,75.51945395796139
B,82.29090562177537
B,76.2898291075741
B,86.39400684543301
B,62.651741796463476
B,79.02341641177549
B,68.15189909059687
B,66.29202850818118
B,69.21150335235585
B,71.88447467872628
B,75.56165342229745
B,63.348501592166436
B,84.00826486954188
B,79.6566243973046
B,59.637563137227765
B,89.882521937956
B,93.95889176030583
B,86.7877957115965
B,73.2007516418765
B,64.29247378489457
B,85.54451726931137
B,70.9682305302682
B,87.22445070382427
B,77.08274978076861
B,84.76639036483714
B,78.56366397174402
B,82.06573168191949
B,75.1050002072082
B,92.85870493905836
B,76.2691209270362
B,79.01989363444702
C,98.83150697056254
C,66.52240938857554
C,67.29515001514267
C,89.69396708158011
C,68.2687659488584
C,99.43621185649293
C,75.86381019240252
C,72.52545188559242
C,99.22942026480385
C,94.80514791434425
C,98.6755896042657
C,89.06044658275385
C,71.38774314945297
C,99.10064953099034
C,77.31996629048619
C,88.02456395796395
C,89.47251967773748
C,78.44989906909166
C,86.1407937034608
C,89.22206671566526
C,83.7642553115563
C,69.00599209415805
C,82.98238174206055
C,93.2638589668703
C,73.05432140268634
C,78.5036545967233
C,75.64846448278362
C,98.49263728479342
C,86.72294757012436
C,84.0746183624111
C,72.30083925554683
C,85.39249191291817
C,73.25667339342624
C,80.3183055827435
C,73.64153921621119
C,86.764332949465
C,85.76590816614942
C,77.91701244422005
C,83.96006712661645
C,69.06938491269494
C,65.08742407294395
C,84.39391701264537
C,81.6667349537253
C,86.35031436892106
C,103.83144774863942
C,89.44479486990414
C,70.87177774555842
C,91.17016288095853
C,66.84092589488479
C,75.38415395185291
